Experiment,Split,input_head_dim,lr,drop_out,optimizer_name,lambda_rank,label_smooth_control,label_smooth_ad,label_smooth_pd,label_smooth_ftd,label_smooth_als,label_smooth_stroketia,nb_layers,n_units_l0,n_units_l1,n_units_l2,n_units_l3,n_units_l4
CV,fold_0,512,0.0399146218517955,0.3217314598324898,SGD,4.463145462528555,0.0863704578790751,0.0863704578790751,0.0689498850052298,0.0689498850052298,0,0.0689498850052298,3,512,256,256,0,0
CV,fold_1,256,0.0012482685414049,0.1459591648901179,RMSprop,0.9583175753752274,0.1402223942418644,0.1402223942418644,0.1112885914910025,0.1112885914910025,0,0.1112885914910025,2,128,128,0,0,0
CV,fold_2,256,0.0150234880448518,0.3388254317693045,Adam,3.735286511462029,0.1543188677476493,0.1543188677476493,0.1064041804668571,0.1064041804668571,0,0.1064041804668571,1,64,0,0,0,0
CV,fold_3,1024,0.0346347882857673,0.1822328279198547,SGD,3.089171485706834,0.1807656714417765,0.1807656714417765,0.1630934044017543,0.1630934044017543,0,0.1630934044017543,3,256,32,32,0,0
CV,fold_4,512,0.0011135514650145,0.3686924139610454,RMSprop,0.969835820465835,0.0290522621960315,0.0290522621960315,0.0622488219382307,0.0622488219382307,0,0.0622488219382307,1,128,0,0,0,0
CV,fold_5,512,0.0987686152843351,0.3396482278177816,SGD,2.118509011899472,0.0421694651723864,0.0421694651723864,0.00146261547287,0.00146261547287,0,0.00146261547287,1,32,0,0,0,0
CV,fold_6,256,0.0001910558579127,0.218138192369091,RMSprop,0.009254143359269,0.1671007693799941,0.1671007693799941,0.1006578451644558,0.1006578451644558,0,0.1006578451644558,1,128,0,0,0,0
CV,fold_7,64,0.0116236384869741,0.2048775903770487,Adam,3.03971326516403,0.1495459057308719,0.1495459057308719,0.0838517900183502,0.0838517900183502,0,0.0838517900183502,2,256,16,0,0,0
CV,fold_8,256,0.0495574725711554,0.4147651015957878,RMSprop,3.3892246141541973,0.1532308053961026,0.1532308053961026,0.0886490624251827,0.0886490624251827,0,0.0886490624251827,1,64,0,0,0,0
CV,fold_9,1024,0.0077111907970426,0.3950863702829124,RMSprop,0.8605018254909238,0.1560071873336083,0.1560071873336083,0.0788286475606187,0.0788286475606187,0,0.0788286475606187,1,128,0,0,0,0
LOSO,site_A,1024,0.005,0.2,SGD,0.0,0.2,0.2,0.3,0.3,0,0.3,3,512,64,32,0,0
LOSO,site_C,1024,0.0001,0.4,Adam,3.0,0.1,0.1,0.1,0.1,0,0.1,1,32,0,0,0,0
LOSO,site_D,512,0.005,0.1,Adam,4.0,0.1,0.1,0.0,0.0,0,0.0,1,32,0,0,0,0
LOSO,site_E,512,0.005,0.5,Adam,5.0,0.1,0.1,0.3,0.3,0,0.3,3,128,16,32,0,0
LOSO,site_F,16,0.005,0.1,RMSprop,0.0,0.3,0.3,0.0,0.0,0,0.0,1,32,0,0,0,0
LOSO,site_G,128,0.005,0.5,Adam,0.0,0.1,0.1,0.3,0.3,0,0.3,2,128,32,0,0,0
LOSO,site_I,16,0.005,0.5,Adam,1.0,0.2,0.2,0.2,0.2,0,0.2,2,512,32,0,0,0
LOSO,site_J,32,0.002,0.1,Adam,3.0,0.3,0.3,0.0,0.0,0,0.0,2,512,32,0,0,0
LOSO,site_L,64,0.005,0.4,Adam,5.0,0.3,0.3,0.3,0.3,0,0.3,1,32,0,0,0,0
LOSO,site_M,256,0.005,0.3,SGD,0.0,0.0,0.0,0.0,0.0,0,0.0,3,128,128,32,0,0
LOSO,site_N,32,0.01,0.2,RMSprop,0.0,0.0,0.0,0.0,0.0,0,0.0,3,16,8,32,0,0
LOSO,site_P,8,0.0002,0.3,SGD,3.0,0.0,0.0,0.0,0.0,0,0.0,2,16,32,0,0,0
LOSO,site_Q,256,0.005,0.2,SGD,3.0,0.3,0.3,0.0,0.0,0,0.0,1,32,0,0,0,0
LOSO,site_R,128,0.005,0.3,RMSprop,0.0,0.1,0.1,0.2,0.2,0,0.2,2,128,32,0,0,0
